Time (h), Inlet temperature (degC)
1332,14.366
1333,14.359
1334,14.351
1335,14.344
1336,14.337
1337,14.329
1338,14.322
1339,14.314
1340,14.307
1341,14.3
1342,14.292
1343,14.285
1344,14.278
1345,14.27
1346,14.263
1347,14.256
1348,14.248
1349,14.241
1350,14.234
1351,14.226
1352,14.219
1353,14.212
1354,14.204
1355,14.197
1356,14.189
1357,14.182
1358,14.175
1359,14.167
1360,14.16
1361,14.153
1362,14.145
1363,14.138
1364,14.131
1365,14.123
1366,14.116
1367,14.109
1368,14.101
1369,14.094
1370,14.087
1371,14.079
1372,14.072
1373,14.065
1374,14.057
1375,14.05
1376,14.042
1377,14.035
1378,14.028
1379,14.02
1380,14.013
1381,14.006
1382,13.998
1383,13.991
1384,13.984
1385,13.976
1386,13.969
1387,13.962
1388,13.954
1389,13.947
1390,13.94
1391,13.932
1392,13.925
1393,13.917
1394,13.91
1395,13.903
1396,13.895
1397,13.888
1398,13.881
1399,13.873
1400,13.866
1401,13.859
1402,13.849
1403,13.835
1404,13.822
1405,13.808
1406,13.795
1407,13.782
1408,13.768
1409,13.755
1410,13.741
1411,13.728
1412,13.715
1413,13.701
1414,13.688
1415,13.674
1416,13.661
1417,13.647
1418,13.634
1419,13.621
1420,13.607
1421,13.594
1422,13.58
1423,13.567
1424,13.554
1425,13.54
1426,13.527
1427,13.513
1428,13.5
1429,13.487
1430,13.473
1431,13.46
1432,13.446
1433,13.433
1434,13.419
1435,13.406
1436,13.393
1437,13.379
1438,13.366
1439,13.352
1440,13.339
1441,13.326
1442,13.312
1443,13.299
1444,13.285
1445,13.272
1446,13.258
1447,13.245
1448,13.232
1449,13.218
1450,13.205
1451,13.191
1452,13.178
1453,13.165
1454,13.151
1455,13.138
1456,13.124
1457,13.111
1458,13.097
1459,13.084
1460,13.071
1461,13.057
1462,13.044
1463,13.03
1464,13.017
1465,13.004
1466,12.99
1467,12.977
1468,12.963
1469,12.95
1470,12.936
1471,12.923
1472,12.91
1473,12.896
1474,12.883
1475,12.869
1476,12.856
1477,12.843
1478,12.829
1479,12.816
1480,12.802
1481,12.789
1482,12.775
1483,12.762
1484,12.749
1485,12.735
1486,12.722
1487,12.708
1488,12.695
1489,12.682
1490,12.668
1491,12.655
1492,12.641
1493,12.628
1494,12.614
1495,12.601
1496,12.588
1497,12.574
1498,12.561
1499,12.547
1500,12.534
1501,12.521
1502,12.507
1503,12.494
1504,12.48
1505,12.467
1506,12.453
1507,12.44
1508,12.427
1509,12.413
1510,12.4
